index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times
43,Helmcken Park,"1103 Pacific Blvd, Vancouver, BC V6B 6J5",Park,49.27487,-123.11997,,,,,,0%,21%,42%,14%,0%,28%,0%,,28%,7%,50%,7%,35%,42%,21%,50%,64%,0%,,,,,,,0%,42%,14%,28%,28%,0%,64%,,42%,14%,21%,57%,14%,71%,28%,35%,35%,0%,,,,,,,0%,0%,50%,21%,21%,64%,0%,,7%,71%,14%,42%,42%,14%,71%,35%,42%,0%,,,,,,,0%,28%,7%,42%,7%,21%,42%,,71%,21%,78%,21%,28%,57%,28%,64%,28%,0%,,,,,,,0%,0%,28%,14%,14%,0%,7%,,7%,28%,7%,100%,50%,14%,64%,64%,28%,0%,,,,,,,0%,0%,7%,14%,7%,0%,7%,,57%,14%,21%,14%,57%,35%,28%,50%,64%,0%,,,,,,,0%,35%,0%,0%,14%,0%,0%,,0%,85%,7%,28%,28%,42%,42%,50%,57%,0%,,14%,,0%,,,85%,,0%,64%,,0%,,,14%,
44,MacLean Park,"710 Keefer St, Vancouver, BC V6A 1Y6",Park,49.27881,-123.08842,,,,,,,,0%,4%,44%,52%,74%,,,74%,58%,76%,0%,32%,0%,,0%,0%,0%,,,,,,,0%,,18%,14%,48%,74%,,57%,,57%,64%,64%,0%,28%,0%,,0%,0%,,,,,,,0%,0%,,30%,30%,53%,,85%,66%,,60%,0%,46%,0%,0%,0%,,0%,,,,,,,0%,0%,18%,,41%,46%,,100%,93%,72%,,0%,0%,28%,0%,0%,0%,,,,,,,,0%,0%,18%,46%,,66%,,53%,98%,82%,60%,,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,34%,36%,69%,,,53%,56%,84%,64%,0%,,0%,0%,0%,0%,0%,,,,,,,0%,0%,33%,41%,53%,68%,,70%,56%,66%,61%,41%,0%,,0%,0%,0%,0%,56%,,86%,,,82%,,49%,42%,,64%,,,,
45,Trillium Park,"600 National Ave, Vancouver, BC V6A 2E5",Park,49.27346,-123.09212,,,,,,0%,47%,39%,21%,41%,55%,44%,,50%,62%,39%,34%,56%,48%,28%,100%,49%,0%,,,,,,,0%,8%,53%,42%,30%,38%,59%,,45%,46%,60%,37%,30%,64%,69%,20%,92%,0%,,,,,,,0%,36%,21%,53%,38%,31%,37%,,47%,46%,42%,57%,35%,27%,75%,96%,13%,0%,,,,,,,0%,40%,34%,33%,50%,38%,36%,,52%,50%,46%,36%,48%,30%,32%,74%,93%,0%,,,,,,,0%,42%,46%,34%,44%,49%,42%,,46%,45%,44%,40%,37%,45%,38%,33%,69%,0%,,,,,,,0%,4%,49%,50%,37%,53%,48%,,38%,45%,42%,40%,37%,55%,40%,41%,30%,0%,,,,,,,0%,34%,12%,48%,47%,41%,55%,,60%,37%,41%,47%,38%,32%,77%,56%,39%,0%,,51%,,45%,,,56%,,41%,37%,,51%,,,52%,
46,Strathcona Linear Park,"787 Prior St, Vancouver, BC V6A 2G8",Park,49.27722,-123.0876,,,,,,0%,7%,0%,7%,38%,7%,15%,,30%,7%,15%,46%,53%,61%,23%,38%,0%,0%,,,,,,,0%,23%,23%,0%,0%,30%,15%,,7%,7%,15%,7%,38%,61%,38%,15%,38%,0%,,,,,,,0%,0%,38%,46%,0%,7%,23%,,23%,7%,0%,46%,7%,38%,38%,23%,23%,0%,,,,,,,0%,15%,7%,23%,61%,7%,23%,,69%,15%,0%,7%,100%,23%,53%,30%,7%,0%,,,,,,,0%,38%,15%,15%,23%,61%,23%,,38%,30%,23%,7%,38%,84%,53%,46%,7%,0%,,,,,,,0%,7%,30%,23%,15%,38%,69%,,61%,76%,23%,38%,30%,53%,46%,61%,53%,0%,,,,,,,0%,7%,0%,23%,30%,23%,15%,,23%,30%,69%,23%,38%,46%,69%,7%,30%,0%,,7%,,23%,,,30%,,30%,30%,,15%,,,38%,
47,Nelson Park Dog Park,"1030 Bute St, Vancouver, BC V6E 1Y9",Dog park,49.28355,-123.13072,,,,,,,0%,19%,18%,37%,37%,42%,,66%,59%,72%,54%,48%,15%,51%,18%,0%,0%,0%,,,,,,,0%,19%,29%,32%,58%,44%,,54%,68%,63%,74%,41%,49%,15%,24%,0%,0%,0%,,,,,,,0%,14%,40%,45%,42%,76%,,45%,54%,71%,58%,74%,33%,41%,19%,0%,0%,0%,,,,,,,0%,15%,16%,38%,63%,55%,,46%,45%,61%,63%,58%,58%,32%,37%,0%,0%,0%,,,,,,,0%,15%,20%,22%,64%,68%,,100%,54%,38%,71%,61%,44%,42%,25%,0%,0%,0%,,,,,,,0%,11%,16%,33%,31%,72%,,51%,93%,50%,38%,84%,48%,36%,27%,0%,0%,0%,,,,,,,0%,9%,31%,33%,31%,53%,,63%,55%,67%,42%,20%,72%,35%,22%,0%,0%,0%,50%,,41%,,,41%,,100%,55%,,72%,,,76%,
48,Dandelilion Green Grass Park,"1401 Robson St, Vancouver, BC V6G 1C1",Park,49.2883,-123.12999,,13%,13%,13%,6%,6%,20%,26%,40%,6%,13%,13%,,0%,0%,20%,6%,13%,20%,26%,26%,26%,33%,53%,,13%,6%,13%,13%,13%,20%,26%,13%,13%,0%,26%,,0%,0%,0%,6%,0%,6%,53%,13%,20%,26%,73%,,100%,20%,0%,6%,33%,20%,20%,40%,20%,6%,0%,,13%,6%,0%,0%,20%,0%,0%,33%,6%,6%,40%,,80%,66%,13%,33%,6%,26%,20%,6%,20%,20%,20%,,6%,6%,13%,0%,6%,13%,0%,0%,13%,0%,0%,,13%,60%,46%,6%,26%,6%,13%,6%,0%,6%,33%,,13%,6%,0%,33%,6%,26%,0%,6%,6%,6%,0%,,0%,20%,66%,33%,6%,20%,20%,6%,6%,13%,0%,,80%,26%,13%,0%,66%,6%,20%,0%,26%,20%,13%,,6%,0%,26%,6%,33%,13%,33%,20%,6%,6%,20%,,6%,40%,13%,13%,6%,33%,13%,26%,6%,33%,6%,6%,0%,26%,53%,86%,13%,20%,6%,40%,6%,13%,0%,26%,6%,
50,Strathcona Park,"857 Malkin Ave, Vancouver, BC V6A 2K5",Park,49.27455,-123.0862,,4%,2%,6%,4%,5%,33%,5%,13%,29%,60%,67%,,65%,79%,76%,70%,58%,49%,42%,15%,33%,13%,19%,,15%,6%,0%,7%,2%,15%,38%,20%,24%,39%,77%,,62%,62%,69%,63%,63%,50%,37%,31%,18%,24%,4%,,15%,6%,8%,15%,7%,7%,27%,26%,43%,39%,48%,,62%,56%,47%,59%,48%,53%,33%,28%,30%,13%,12%,,0%,25%,5%,6%,13%,15%,14%,35%,30%,66%,60%,,79%,58%,60%,53%,52%,43%,45%,16%,16%,26%,10%,,4%,0%,20%,6%,9%,14%,18%,34%,43%,39%,79%,,81%,75%,57%,67%,47%,39%,37%,32%,14%,16%,20%,,7%,5%,5%,11%,2%,5%,15%,33%,41%,48%,48%,,79%,86%,68%,57%,55%,36%,32%,31%,23%,21%,12%,,7%,8%,6%,0%,27%,0%,6%,19%,43%,62%,60%,,96%,78%,73%,65%,50%,46%,24%,33%,22%,21%,26%,64%,21%,73%,16%,0%,82%,10%,64%,73%,5%,100%,15%,5%,60%,
51,New Urban Park to come 2021 - Lot 34 - 872 Richards St,"872 Richards St, Vancouver, BC V6B 3B4",Park,49.27923,-123.11866,,20%,20%,20%,0%,0%,10%,10%,0%,10%,0%,0%,,20%,0%,10%,10%,60%,30%,10%,10%,20%,0%,20%,,30%,10%,0%,0%,0%,10%,30%,40%,10%,10%,10%,,30%,40%,0%,10%,20%,30%,20%,0%,10%,50%,10%,,20%,10%,0%,30%,0%,20%,0%,10%,50%,20%,20%,,0%,30%,40%,0%,20%,50%,30%,10%,10%,30%,20%,,60%,20%,0%,10%,10%,10%,20%,10%,10%,60%,50%,,50%,0%,40%,20%,0%,10%,20%,40%,30%,10%,70%,,20%,30%,30%,10%,20%,0%,30%,20%,10%,30%,100%,,0%,70%,0%,30%,10%,0%,10%,10%,50%,20%,30%,,20%,40%,10%,10%,0%,10%,20%,10%,20%,30%,40%,,50%,0%,40%,10%,40%,10%,0%,20%,0%,30%,20%,,20%,10%,20%,0%,0%,0%,0%,20%,10%,10%,20%,,20%,20%,0%,40%,30%,30%,20%,10%,10%,10%,30%,30%,20%,10%,40%,30%,20%,20%,10%,40%,50%,50%,20%,20%,20%,
52,Stanley Park Dog Park,"Vancouver, BC",Dog park,49.25774,-123.1239,,,,,,0%,33%,0%,22%,11%,0%,22%,,11%,11%,0%,77%,11%,11%,44%,11%,0%,55%,,,,,,,0%,55%,77%,11%,11%,22%,11%,,33%,0%,22%,11%,55%,22%,0%,33%,33%,11%,,,,,,,0%,100%,22%,100%,33%,0%,11%,,0%,11%,22%,22%,33%,55%,33%,0%,33%,11%,,,,,,,0%,44%,66%,22%,66%,77%,11%,,55%,11%,0%,44%,11%,33%,33%,22%,0%,11%,,,,,,,0%,11%,22%,66%,55%,33%,88%,,11%,22%,22%,0%,66%,0%,55%,44%,55%,0%,,,,,,,0%,11%,0%,11%,66%,55%,11%,,11%,33%,11%,22%,11%,22%,0%,55%,44%,22%,,,,,,,0%,11%,11%,0%,0%,22%,100%,,11%,0%,66%,0%,22%,22%,11%,0%,55%,44%,,66%,,0%,,,22%,,0%,22%,,44%,,,22%,
53,Charleson Park,"999 Charleson Street, Vancouver, BC V5Z 4A2",Park,49.26743,-123.12409,,,,,,0%,10%,23%,23%,32%,48%,53%,,30%,35%,93%,53%,39%,40%,47%,17%,21%,0%,,,,,,,0%,6%,9%,32%,28%,40%,58%,,85%,41%,43%,100%,44%,27%,33%,37%,17%,0%,,,,,,,0%,12%,7%,20%,34%,46%,52%,,45%,89%,47%,42%,83%,44%,17%,22%,33%,0%,,,,,,,0%,11%,14%,16%,24%,36%,56%,,50%,42%,85%,42%,39%,68%,36%,15%,21%,0%,,,,,,,0%,7%,16%,31%,32%,27%,41%,,46%,51%,35%,73%,37%,38%,48%,25%,15%,0%,,,,,,,0%,6%,9%,28%,47%,48%,31%,,70%,57%,59%,27%,64%,29%,29%,36%,28%,0%,,,,,,,0%,10%,8%,19%,42%,56%,67%,,40%,85%,53%,57%,29%,50%,19%,30%,28%,0%,,77%,,53%,,,54%,,51%,66%,,38%,,,29%,
54,"Lost Lagoon, Stanley Park","Lost Lagoon Path, Vancouver, BC",Scenic spot,49.29404,-123.14206,,7%,15%,19%,69%,23%,26%,3%,23%,11%,7%,34%,,53%,30%,100%,15%,3%,0%,0%,26%,11%,26%,42%,,7%,34%,7%,46%,30%,46%,23%,0%,19%,0%,0%,,23%,88%,15%,73%,30%,11%,0%,0%,50%,3%,11%,,30%,3%,38%,46%,69%,15%,23%,46%,0%,23%,3%,,3%,15%,46%,11%,73%,73%,34%,0%,0%,38%,0%,,11%,23%,15%,3%,38%,76%,0%,11%,34%,0%,26%,,0%,0%,11%,42%,7%,38%,61%,38%,3%,0%,26%,,7%,23%,23%,3%,7%,50%,57%,15%,0%,53%,0%,,11%,3%,0%,3%,46%,19%,57%,61%,69%,15%,3%,,7%,15%,11%,11%,3%,15%,61%,30%,34%,3%,34%,,34%,19%,11%,0%,0%,38%,7%,53%,38%,42%,11%,,23%,7%,7%,11%,11%,11%,23%,30%,15%,73%,11%,,15%,69%,7%,3%,0%,0%,26%,7%,65%,50%,42%,15%,19%,15%,30%,3%,0%,7%,7%,19%,15%,11%,7%,7%,61%,
55,Hinge Park Playground,"1690 Columbia St #1634, Vancouver, BC V5Y 0A6",Playground,49.27088,-123.10974,,,,,,0%,10%,13%,0%,44%,0%,58%,,10%,17%,24%,34%,31%,55%,37%,34%,10%,0%,,,,,,,0%,10%,3%,27%,3%,31%,3%,,20%,6%,48%,51%,34%,13%,65%,37%,27%,0%,,,,,,,0%,17%,24%,0%,41%,6%,27%,,27%,10%,20%,58%,65%,65%,6%,37%,37%,0%,,,,,,,0%,41%,34%,48%,6%,58%,3%,,24%,24%,13%,44%,100%,51%,55%,0%,31%,0%,,,,,,,0%,24%,24%,24%,34%,17%,55%,,55%,17%,17%,24%,44%,48%,20%,75%,17%,0%,,,,,,,0%,20%,44%,17%,31%,17%,27%,,3%,62%,27%,20%,55%,27%,27%,13%,44%,0%,,,,,,,0%,10%,6%,34%,3%,51%,6%,,24%,13%,31%,20%,41%,34%,24%,6%,13%,0%,,10%,,48%,,,10%,,48%,3%,,34%,,,13%,
56,May & Lorne Brown Park,"801 Beach Ave, Vancouver, BC",Park,49.2752,-123.13209,,,,,,0%,20%,0%,0%,10%,3%,6%,,13%,31%,34%,0%,51%,89%,20%,31%,17%,0%,,,,,,,0%,31%,41%,3%,10%,13%,0%,,58%,3%,13%,17%,0%,75%,58%,37%,20%,0%,,,,,,,0%,0%,17%,68%,13%,27%,31%,,20%,51%,0%,20%,3%,0%,44%,17%,58%,0%,,,,,,,0%,31%,3%,17%,51%,20%,65%,,3%,44%,48%,6%,41%,0%,3%,37%,6%,0%,,,,,,,0%,10%,20%,10%,13%,27%,34%,,24%,10%,37%,24%,17%,72%,0%,10%,48%,0%,,,,,,,0%,0%,13%,20%,20%,13%,17%,,65%,6%,6%,55%,20%,37%,65%,0%,3%,0%,,,,,,,0%,6%,0%,10%,6%,10%,24%,,27%,65%,6%,24%,100%,13%,31%,41%,3%,0%,,55%,,10%,,,0%,,20%,75%,,41%,,,10%,
57,Twinkie park,"183 Drake St, Vancouver, BC V6Z 2Y8",Park,49.27302,-123.12257,,37%,0%,12%,25%,37%,,0%,0%,0%,25%,62%,,,100%,0%,12%,0%,37%,62%,,0%,37%,50%,,0%,75%,0%,0%,25%,25%,,0%,0%,12%,62%,,0%,,87%,0%,0%,0%,25%,50%,,0%,100%,,,0%,37%,25%,12%,12%,25%,,0%,0%,25%,,12%,0%,,37%,0%,0%,12%,25%,25%,,0%,,87%,,0%,0%,62%,37%,12%,12%,,12%,0%,,25%,0%,0%,,25%,0%,12%,37%,62%,0%,,,0%,25%,,12%,0%,25%,12%,37%,12%,,25%,,0%,37%,12%,0%,,25%,0%,25%,12%,50%,0%,,12%,12%,25%,,0%,0%,12%,0%,37%,37%,,,12%,12%,37%,25%,12%,,12%,0%,25%,0%,62%,,0%,0%,25%,12%,,0%,0%,0%,12%,62%,37%,,50%,0%,0%,12%,50%,25%,,0%,12%,37%,0%,12%,0%,25%,,100%,25%,0%,12%,0%,25%,25%,0%,25%,,
